title,views,date_time,video_link,thumbnail_link
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,6.1K views,3 months ago,/watch?v=JoNs4m0QCig,https://i.ytimg.com/vi/JoNs4m0QCig/hqdefault.jpg
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,9.8K views,3 months ago,/watch?v=puDKP5_0Ol4,https://i.ytimg.com/vi/puDKP5_0Ol4/hqdefault.jpg
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",1.1K views,3 months ago,/watch?v=1TnVdzwbzJo,https://i.ytimg.com/vi/1TnVdzwbzJo/hqdefault.jpg
Why you will not get placed? | Save yourself Now,2.2K views,3 months ago,/watch?v=b-6rmk233DU,https://i.ytimg.com/vi/b-6rmk233DU/hqdefault.jpg
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,2.9K views,3 months ago,/watch?v=rfyhmQYEJKE,https://i.ytimg.com/vi/rfyhmQYEJKE/hqdefault.jpg
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",1M views,4 months ago,/watch?v=hDfjzq9m5vI,https://i.ytimg.com/vi/hDfjzq9m5vI/hqdefault.jpg
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,4.2K views,4 months ago,/watch?v=A7_iaBNOxSU,https://i.ytimg.com/vi/A7_iaBNOxSU/hqdefault.jpg
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,3.5K views,4 months ago,/watch?v=FyHidTTNXJ8,https://i.ytimg.com/vi/FyHidTTNXJ8/hqdefault.jpg
How I would learn to code (if i could start over) | 18 LPA+ Package,2K views,4 months ago,/watch?v=Bq4TH-OhqY0,https://i.ytimg.com/vi/Bq4TH-OhqY0/hqdefault.jpg
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,3.8K views,4 months ago,/watch?v=DoXFPztXGyM,https://i.ytimg.com/vi/DoXFPztXGyM/hqdefault.jpg
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",57K views,4 months ago,/watch?v=UvNQUwuN9Ss,https://i.ytimg.com/vi/UvNQUwuN9Ss/hqdefault.jpg
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,8.7K views,4 months ago,/watch?v=kBN7AZ0MRgI,https://i.ytimg.com/vi/kBN7AZ0MRgI/hqdefault.jpg
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,1.4K views,4 months ago,/watch?v=lWrzQFqgTcY,https://i.ytimg.com/vi/lWrzQFqgTcY/hqdefault.jpg
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,7.1K views,4 months ago,/watch?v=loPvFZXUcNw,https://i.ytimg.com/vi/loPvFZXUcNw/hqdefault.jpg
Crack Off-Campus Placement before 2025 with this Strategy,4.5K views,4 months ago,/watch?v=rQs1n2ERSvk,https://i.ytimg.com/vi/rQs1n2ERSvk/hqdefault.jpg
